Company_Name,Launch_URL
Anh Phu Nguyen,https://x.com/AnhPhuNguyen1/status/1958199821048705312
Mignano,https://x.com/mignano/status/1965780172688494653
Austin,https://x.com/awwstn/status/1970115256614883470
Lovable,https://x.com/lovable_dev/status/1972680165378650391
Amy Pretzel,https://x.com/amypretzel/status/1973055244528742531
Said Hanak,https://x.com/saidhanak/status/1991148680947097809
Sup Tejas,https://x.com/suptejas/status/1991161542029500788
Tony Zhao,https://x.com/tonyzzhao/status/1991204839578300813
Gradium AI,https://x.com/gradiumai/status/1995826566543081700
Rincidium,https://x.com/rincidium/status/1995946528343818656
Macaron Official,https://x.com/macaron0fficial/status/1997990209095602544
Boom Supersonic,https://x.com/boomsupersonic/status/1998392027936125275
Cameron Moll,https://x.com/cameronmoll/status/2000602764809060375
Lina Colucci,https://x.com/lina_colucci/status/2000975505424806334
Y Combinator,https://x.com/ycombinator/status/2019810821032047046
Qromero Lauro,https://x.com/Qromerolauro/status/2019865761314140311
Jalehr,https://x.com/jalehr/status/2020860238912786789
Nicho,https://x.com/nichochar/status/2020923837228122374
Essential,https://x.com/essential/status/2021208879921611079
Emily Man,https://x.com/emily__man/status/2021235353865130070
Luci Holland,https://x.com/luci_holland/status/2021269234647499111
Altimor,https://x.com/Altimor/status/2021311962228142265
Will Lawrence,https://x.com/will_lawrenceto/status/2021327218602082404
Omar,https://x.com/omarjpeg/status/2021343604208513215
Apptronik,https://x.com/Apptronik/status/2021588963887382649
JH Nling,https://x.com/jhnling/status/2021587726144053402
Sam Blond,https://x.com/samdblond/status/2021616625058017588
Gradient HQ,https://x.com/gradient_hq/status/2021949473828810844
EG Lyman,https://x.com/eglyman/status/2021962871924457624
Joon Park,https://x.com/joon_s_pk/status/2022023097017421874
Anthropic,https://x.com/anthropicai/status/2022023155423002867
Exa AI Labs,https://x.com/exaailabs/status/2022022631244149076
Alfred,https://x.com/itsalfredw/status/2022003226808398043
JMJ,https://x.com/jmj/status/2022012559642218598
Max Marchione,https://x.com/maxmarchione/status/2022056755157774483
Jia Seed,https://x.com/jia_seed/status/2022761948753117393
Heet Tike,https://x.com/heettike/status/2023483266767196445
Poly AI Voice,https://x.com/polyaivoice/status/2023789465509015972
Braintrust,https://x.com/braintrust/status/2023801035647799634
0xSigil,https://x.com/0xSigil/status/2023877649475731671
Contra Ben,https://x.com/contraben/status/2024182864506761617
DB Abbs,https://x.com/dbabbs/status/2026341750168543504
Anthony Azrak,https://x.com/anthonyazrak/status/2026335964356853971
Mich Limlim,https://x.com/michlimlim/status/2026327160072634576
Ivan Zhao,https://x.com/ivanhzhao/status/2026347354333295105
Yoonseok Yang,https://x.com/yoonseok_yang/status/2026352208854528355
Koah Labs,https://x.com/koahlabs/status/2026334549966242189
Ask Okara,https://x.com/askOkara/status/2026341350694687079
Jai Mansukhan,https://x.com/jai_mansukhanii/status/2026334406533660709
Bruno Koba,https://x.com/brunokoba_/status/2026367326577435027
Mikael Sargsyan,https://x.com/MikaelSargsyan/status/2026415883799695379
Joan Rod AI,https://x.com/joanrod_ai/status/2026693353090240819
T54 AI,https://x.com/t54ai/status/2026713568666648661
Moonlake,https://x.com/moonlake/status/2026718586354487435
HKimia,https://x.com/hkimia/status/2026650948324700451
This Is Grant Lee,https://x.com/thisisgrantlee/status/2026764640190079222
Perplexity AI,https://x.com/perplexity_ai/status/2026695550771540489
Encord Team,https://x.com/encord_team/status/2027054134629736785
Revel Software,https://x.com/revel_software/status/2027035934823174532
